id,name,code,code_name,division_type,short_code_name,order,is_usable,master_province_id
683,Huyện Cù Lao Dung,945,huyen_cu_lao_dung,huyện,cu_lao_dung,945,true,61
684,Huyện Long Phú,946,huyen_long_phu,huyện,long_phu,946,true,61
685,Huyện Mỹ Xuyên,947,huyen_my_xuyen,huyện,my_xuyen,947,true,61
686,Thị xã Ngã Năm,948,thi_xa_nga_nam,thị xã,nga_nam,948,true,61
687,Huyện Thạnh Trị,949,huyen_thanh_tri,huyện,thanh_tri,949,true,61
688,Thị xã Vĩnh Châu,950,thi_xa_vinh_chau,thị xã,vinh_chau,950,true,61
689,Huyện Trần Đề,951,huyen_tran_de,huyện,tran_de,951,true,61
690,Thành phố Bạc Liêu,954,thanh_pho_bac_lieu,thành phố,bac_lieu,954,true,62
691,Huyện Hồng Dân,956,huyen_hong_dan,huyện,hong_dan,956,true,62
692,Huyện Phước Long,957,huyen_phuoc_long,huyện,phuoc_long,957,true,62
693,Huyện Vĩnh Lợi,958,huyen_vinh_loi,huyện,vinh_loi,958,true,62
694,Thị xã Giá Rai,959,thi_xa_gia_rai,thị xã,gia_rai,959,true,62
695,Huyện Đông Hải,960,huyen_dong_hai,huyện,dong_hai,960,true,62
696,Huyện Hoà Bình,961,huyen_hoa_binh,huyện,hoa_binh,961,true,62
697,Thành phố Cà Mau,964,thanh_pho_ca_mau,thành phố,ca_mau,964,true,63
698,Huyện U Minh,966,huyen_u_minh,huyện,u_minh,966,true,63
699,Huyện Thới Bình,967,huyen_thoi_binh,huyện,thoi_binh,967,true,63
700,Huyện Trần Văn Thời,968,huyen_tran_van_thoi,huyện,tran_van_thoi,968,true,63
701,Huyện Cái Nước,969,huyen_cai_nuoc,huyện,cai_nuoc,969,true,63
702,Huyện Đầm Dơi,970,huyen_dam_doi,huyện,dam_doi,970,true,63
703,Huyện Năm Căn,971,huyen_nam_can,huyện,nam_can,971,true,63
704,Huyện Phú Tân,972,huyen_phu_tan,huyện,phu_tan,972,true,63
705,Huyện Ngọc Hiển,973,huyen_ngoc_hien,huyện,ngoc_hien,973,true,63
